,State,Margin,Clinton,Trump,win
0,Minnesota,"44,593","1,367,825","1,323,232",Clinton
1,Missouri,"523,443","1,071,068","1,594,511",Trump
2,Alabama,"588,708","729,547","1,318,255",Trump
3,Hawaii,"138,044","266,891","128,847",Clinton
4,Oklahoma,"528,761","420,375","949,136",Trump
5,Massachusetts,"904,303","1,995,196","1,090,893",Clinton
6,Arkansas,"304,378","380,494","684,872",Trump
7,D. C.,"270,107","282,830","12,723",Clinton
8,New York,"1,736,585","4,556,142","2,819,557",Clinton
9,Wisconsin,"22,748","1,382,536","1,405,284",Trump
10,Florida,"112,911","4,504,975","4,617,886",Trump
11,California,"4,269,978","8,753,792","4,483,814",Clinton
12,Mississippi,"215,583","485,131","700,714",Trump
13,Indiana,"524,160","1,033,126","1,557,286",Trump
14,New Mexico,"65,567","385,234","319,667",Clinton
15,Montana,"101,531","177,709","279,240",Trump
16,Georgia,"211,141","1,877,963","2,089,104",Trump
17,Michigan,"10,704","2,268,839","2,279,543",Trump
18,Vermont,"83,204","178,573","95,369",Clinton
19,Washington,"520,971","1,742,718","1,221,747",Clinton
20,Iowa,"147,314","653,669","800,983",Trump
21,Oregon,"219,703","1,002,106","782,403",Clinton
22,Nevada,"27,202","539,260","512,058",Clinton
23,Texas,"807,179","3,877,868","4,685,047",Trump
24,Wyoming,"118,446","55,973","174,419",Trump
25,Louisiana,"398,484","780,154","1,178,638",Trump
26,New Hampshire,"2,736","348,526","345,790",Clinton
27,Kentucky,"574,117","628,854","1,202,971",Trump
28,West Virginia,"300,577","188,794","489,371",Trump
29,Pennsylvania,"44,292","2,926,441","2,970,733",Trump
30,Delaware,"50,476","235,603","185,127",Clinton
31,South Dakota,"110,263","117,458","227,721",Trump
32,Idaho,"219,290","189,765","409,055",Trump
33,Utah,"204,555","310,676","515,231",Trump
34,Maine,"22,142","357,735","335,593",Clinton
35,South Carolina,"300,016","855,373","1,155,389",Trump
36,Maryland,"734,759","1,677,928","943,169",Clinton
37,New Jersey,"546,345","2,148,278","1,601,933",Clinton
38,North Dakota,"123,036","93,758","216,794",Trump
39,North Carolina,"173,315","2,189,316","2,362,631",Trump
40,Arizona,"91,234","1,161,167","1,252,401",Trump
41,Nebraska,"211,467","284,494","495,961",Trump
42,Tennessee,"652,230","870,695","1,522,925",Trump
43,Connecticut,"224,357","897,572","673,215",Clinton
44,Ohio,"446,837","2,394,169","2,841,006",Trump
45,Colorado,"136,386","1,338,870","1,202,484",Clinton
46,Illinois,"944,714","3,090,729","2,146,015",Clinton
47,Alaska,"46,933","116,454","163,387",Trump
48,Virginia,"212,030","1,981,473","1,769,443",Clinton
49,Rhode Island,"71,982","252,525","180,543",Clinton
50,Kansas,"244,013","427,005","671,018",Trump
